rank,moniker,operator_address,consensus_address,consensus_pubkey_b64,voting_power,share_percent,cumulative_share_percent,tokens_atomic,commission_rate,website
1,anodeofzen,genesisvaloper1x4sj6d9r9scxef8urmdfxcx37ut7yk2s2m8r68,4CA8DDA48CA2FF5208C52CCED203344232E3B31E,14bnE1fd9AgghBJFQrjWzEqfDv9CfNdEfpuegpQHeiQ=,2290264,9.35831582,9.35831582,2290264836630018370955103,0.050000000000000000,https://zenode.app
2,OG Oganesson,genesisvaloper1vc0e9lze2qpqc745zz6ltwdr7s5lfxh9qpp0vw,8C6DE069BE7784DFC5BEA49768050AFADB6A3DFF,KuqkZUftROHRo+AZ2hrOjIqAX5g9ttb0rklcZHNpIa8=,2058579,8.41162085,17.76993668,2058579571813443351065641,0.050000000000000000,
3,⚡ FirstTensor.com ⚡ 4% Fee,genesisvaloper1pscc4p8cynm6zcam3wcz7rnnzsazkh3ljumyza,8070C4C2806E8B1DE771C8AE1DC491862E6FD026,ewKUOXnuQnGKzEKaauHRsy37KYcrB9bqWMXryNiAz5c=,1836030,7.50225677,25.27219345,1836030123219409048358390,0.040000000000000000,https://FirstTensor.com
4,CryptmasGhost,genesisvaloper1wwxpj2wxnd63h597pwtzmxavyzmrr2kxt7aasj,DC0FBCFEF2786CD618114FA42F214FD739DC795A,e4U/EW8WIvdByLNungYaUsxp/u+36NtboRRwj2AUjqE=,1661203,6.78789097,32.06008441,1661203700528087336780715,0.070000000000000000,
5,BlueHole-II,genesisvaloper1nlunvpqm6mcw69cgfraqgcfve63c6pqs3mdxvf,A6B0ACDD76DA846585B73FFB01C1A211B094C668,2KwEe/ETkbSov+W0v1xlDqYEaeJhtJIR8cGTaMSBqls=,1635169,6.68151267,38.74159708,1635169440152651057999982,0.050000000000000000,
6,Calcium by Faust,genesisvaloper15ua6k8dtusen4zzdqvuna2sscw6zz4y5n9awff,E934A78D88A2B52F50ED63EAFDC3CDF11969F870,88GoVooIWEAr4gW7zLjjmL2heHSnW0mUoc146TpXkBg=,1554901,6.3535272,45.09512428,1554901518647633992659293,0.050000000000000000,
7,Elon_Nodes 🌌 Galactic,genesisvaloper1tzqmp8ed3e6rgqrfscekg87pe5hd90n0ax4ghd,A8C3EBB79CA56D69105C2D2604B1296A2219EADC,U6Ea8DWKliIJeIlk5M697xGgrHHWESo5iDHuDd9ew2M=,1541435,6.29850338,51.39362766,1541435460419528936555713,0.100000000000000000,https://linktr.ee/Elon_Nodes
8,LCserve,genesisvaloper175rljmqvlrx9ykfkzxzt9azxkascdza4x4a5kd,6DA26AD620FF922EEEED9BEEB4D4ADF782E7EBE3,khiaz2e9ETNSBr9nIUv6PXe3YZ4MD1hlgWa4e7uWwjE=,1494652,6.10734197,57.50096964,1494652725173079009009797,0.040000000000000000,
9,𝐥𝐞𝐬𝐧𝐢𝐤 | 𝐔𝐓𝐒𝐀,genesisvaloper1afvvw56w2uq64qmsurawkxdhu9r98e5ue2kthq,49F850E7BCDE01A89D8A8334655EDDE576E1371B,J/VhQMUcFlO7KEkffymwDgx4rN95nxsxoo6MwmNun4c=,1211590,4.95071392,62.45168356,1211590426742410632038609,0.100000000000000000,https://teletype.in/@lesnik13utsa
10,ALL-STARS,genesisvaloper1srf2cr67xf5tchqa9za65plrz6dmq2me7ztzzc,A10377191AA60C4C9EDFAB48C1BDF32CE3BC8B23,lcaOUPMkkbku1m8f34uUaAPU3QkS8pCuNON05iWesRw=,1172919,4.7926992,67.24438276,1172919808537546353468974,0.050000000000000000,
