idcode,token_id,onchain_idcode,compressed_bytes,binarycif_bytes,binarycif_sha256,atom_site_row_count,has_cartesian_xyz,category_count,sequence_length,combined_base64_characters
100D,1,100D,16796,167950,a793f658cfd5a80359c20b22825e918f42b746908d12ba7f1bf4971956f738f4,489,True,62,191,22690
101D,2,101D,19120,174860,1515c558fb8cfddc66c6b16ccbb2d2fd2ad2027322afd5e15cda0eb3f59e3524,556,True,56,187,25831
1CRN,3429,1CRN,13369,154573,74e867532f63769940de907ce530e23a4f08c1a14879732107277ce20fb86399,327,True,53,85,18062
102M,6,102M,27076,189675,a99060d2a95131c3b0eb640edc6c6fb8d6da10c9696ad39991dd5c42436378a9,1423,True,64,196,36579
1AKE,886,1AKE,45820,224201,1a7955697a230ec99a0c66154a075049471cc1c8f4f59c5ed3b28acd9e241cc6,3816,True,63,527,61899
4HHB,93945,4HHB,83660,309112,1afa1f71d13b27be4c7287eb525669de74cbda7d8f68b998bcc504ceceb28802,4779,True,67,803,113015
1AON,1019,1AON,439703,977462,c5539898baca2e20df57bd362e7a5fec602964aabaa5ade4814eb18072267c53,58870,True,77,9246,593986
1FNT,6808,1FNT,556439,1153429,88334aecb3e3fa587614d2188a8c076a178ff2354a387ee1bd44a67f2a35dcf4,70622,True,77,12375,751682
